id,created_at,text
1.21637E+18,12/01/2020 14:26,"Michael Goodwin, New York Post: “Trump’s peace through strength philosophy is what America needs. His (John Kerry) claim bears no relation to reality. The Agreement didn’t create opportunities for America &amp; other signatories to confront Iran’s malign activities. It overlooked...."
1.21637E+18,12/01/2020 14:26,"....and then helped to fund them...And zero progress was made on curbing those activities, until Trump droned Soleimani...Plainly, Trump is not a warmonger. He’s a deal maker &amp; his record is that of someone who uses our military might as a deterrent, unleashes it with...."
1.21637E+18,12/01/2020 14:26,"....discretion, and only as a last resort.” Thank you to the great Michael Goodwin. Could not have said it better myself!"
1.21638E+18,12/01/2020 15:26,RT @realDonaldTrump: https://t.co/wBcidgZ2fK
1.21638E+18,12/01/2020 15:30,Great idea. This phony Impeachment Hoax should not even be allowed to proceed. Did NOTHING wrong. Just a partisan vote. Zero Republicans. Never happened before! https://t.co/47oV6z4RQc
1.21639E+18,12/01/2020 16:13,"Why did Nervous Nancy allow corrupt politician Shifty Schiff to lie before Congress? He must be a Witness, and so should she!"
1.2164E+18,12/01/2020 16:40,"Why should I have the stigma of Impeachment attached to my name when I did NOTHING wrong? Read the Transcripts! A totally partisan Hoax, never happened before. House Republicans voted 195-0, with three Dems voting with the Republicans. Very unfair to tens of millions of voters!"
1.2164E+18,12/01/2020 16:44,خطاب به رهبران ايران: معترضان خود را نكشيد. هزاران تن تاكنون به دست شما كشته يا زنداني شده اند، و جهان نظاره گر است. مهمتر از ان، ايالات متحده نظاره گر است. اينترنت را دوباره وصل كنيد و به خبرنگاران اجازه دهيد ازادانه حركت كنند! كشتار مردم بزرگ ايران را متوقف كنيد! https://t.co/rzpx3Nfn03
1.21643E+18,12/01/2020 18:29,"House Republicans investigating origins of the Ukraine Whistleblower complaint. ICIG Michael Atkinson facing serious questions. “The Democrats know the ICIG is a major problem-didn’t release his testimony. Looks so much like everything else we’ve seen, from the Russia Hoax, to..."
1.21643E+18,12/01/2020 18:29,"....the Ukraine Hoax that became the Impeachment Scam. Must get the ICIG answers by Friday because this is the guy who lit the fuse. So if he wants to clear his name, prove that his office is indeed incompetent.” @DevinNunes @MariaBartiromo @FoxNews The ICIG never wanted proof!"
1.21643E+18,12/01/2020 18:41,"You can’t make this up!  David Kris, a highly controversial former DOJ official, was just appointed by the FISA Court to oversee reforms to the FBI’s surveillance procedures. Zero credibility. THE SWAMP! @DevinNunes  @MariaBartiromo @FoxNews"
1.21644E+18,12/01/2020 19:02,"Wow! Crazy Bernie Sanders is surging in the polls, looking very good against his opponents in the Do Nothing Party. So what does this all mean? Stay tuned!"
1.21644E+18,12/01/2020 19:37,https://t.co/gdDcamhY9M
1.21644E+18,12/01/2020 19:37,https://t.co/2iv5aiFEVu
1.21644E+18,12/01/2020 19:38,https://t.co/5YjLSVEXts
1.21645E+18,12/01/2020 19:55,"Many believe that by the Senate giving credence to a trial based on the no evidence, no crime, read the transcripts, “no pressure”  Impeachment Hoax, rather than an outright dismissal, it gives the partisan Democrat Witch Hunt credibility that it otherwise does not have. I agree!"
1.21651E+18,12/01/2020 23:46,"National Security Adviser suggested today that sanctions &amp; protests have Iran “choked off”, will force them to negotiate. Actually, I couldn’t care less if they negotiate. Will be totally up to them but, no nuclear weapons and “don’t kill your protesters.”"
1.21654E+18,13/01/2020 02:00,مشاور امنیت ملی امروز عنوان کرد كه تحریم ها و اعتراضات، ایران را«به شدت تحت فشار»قرار داده است و آنها را مجبور به مذاكره می كند.در واقع، اصلا برایم اهمیتی نداردکه آیا آنها مذاکره می کنند یا نه.این کاملاً به عهده ی خودشان است، اما سلاح هسته ای نداشته باشیدو«معترضان خود را نکشید.» https://t.co/DBGGs8QFcJ
1.21661E+18,13/01/2020 06:31,"RT @realDonaldTrump: To the leaders of Iran - DO NOT KILL YOUR PROTESTERS. Thousands have already been killed or imprisoned by you, and the…"
1.21672E+18,13/01/2020 14:09,"RT @mohmd_mozafari: 🔴The Iranian people are being killed in the streets by the Islamic Republic, but Nancy Pelosi in the USA supports those…"
